date,value,type
1,0.000,2157
2,0.585,2157
3,0.805,2157
4,1.000,2157
5,0.415,2157
6,0.512,2157
7,0.732,2157
8,0.293,2157
9,0.585,2157
10,0.488,2157
11,0.341,2157
12,0.000,2157
13,0.000,2157
14,0.000,2157
15,0.000,2157
16,0.000,2157
17,0.000,2157
18,0.000,2157
19,0.000,2157
20,0.000,2157
21,0.000,2157
22,0.000,2157
23,0.000,2157
0,0.000,2163
1,0.000,2163
2,0.000,2163
3,0.000,2163
4,0.000,2163
5,1.000,2163
6,0.442,2163
7,0.060,2163
8,0.014,2163
9,0.060,2163
10,0.037,2163
11,0.041,2163
12,0.000,2163
13,0.000,2163
14,0.000,2163
15,0.000,2163
16,0.000,2163
17,0.000,2163
18,0.000,2163
19,0.000,2163
20,0.000,2163
21,0.000,2163
22,0.000,2163
23,0.000,2163
0,0.000,2165
1,0.000,2165
2,1.000,2165
3,0.742,2165
4,0.774,2165
5,0.323,2165
6,0.516,2165
7,0.161,2165
8,0.194,2165
9,0.161,2165
10,0.097,2165
11,0.194,2165
12,0.000,2165
13,0.000,2165
14,0.000,2165
15,0.000,2165
16,0.000,2165
17,0.000,2165
18,0.000,2165
19,0.000,2165
20,0.000,2165
21,0.000,2165
22,0.000,2165
23,0.000,2165
0,0.000,2181
